nominal_depth_m,panel_a_depth_m,panel_a_Vs_m_s,panel_b_depth_m,panel_b_Vs_m_s
0.000000000000000000e+00,-2.527013679444505001e-02,1.088803315033174357e+02,-2.506530632336748110e-02,1.088803315033174357e+02
1.000000000000000000e+00,9.749488831149171197e-01,1.093223892616438206e+02,9.749562338945347850e-01,1.093223892616438206e+02
2.000000000000000000e+00,1.974764207462549104e+00,1.294456952217244350e+02,1.974977774112436801e+00,1.294521471925447713e+02
3.000000000000000000e+00,2.974989252678802210e+00,1.397314075520708343e+02,2.974794453618358592e+00,1.397314075520708343e+02
4.000000000000000000e+00,3.974804577026434416e+00,1.454430635993364547e+02,3.974815993836260830e+00,1.454430635993364547e+02
5.000000000000000000e+00,4.975017571628905344e+00,1.334145370904313381e+02,4.974837534054163513e+00,1.334145370904313381e+02
6.000000000000000000e+00,5.974844946590319950e+00,1.574296522979094277e+02,5.974859074272065307e+00,1.574296522979094277e+02
7.000000000000000000e+00,6.975057941192790878e+00,2.266885285830294947e+02,6.974880614489967989e+00,2.266885285830294947e+02
8.000000000000000000e+00,7.974891341461097127e+00,2.234305765901627865e+02,7.975100990104792231e+00,2.234305765901627865e+02
9.000000000000000000e+00,8.974706665808728445e+00,1.878675089427606508e+02,8.974923694925770690e+00,1.878675089427606508e+02
1.000000000000000000e+01,9.974925685718091017e+00,1.542521544260296196e+02,9.974945235143673372e+00,1.542521544260296196e+02
1.100000000000000000e+01,1.097474101006572234e+01,1.980410938408203663e+02,1.097496677536157605e+01,1.980410938408203663e+02
1.200000000000000000e+01,1.197496605528197655e+01,2.348791100251735315e+02,1.197478345486749873e+01,2.348791100251735315e+02
1.300000000000000000e+01,1.297478740493649951e+01,2.386271185289845107e+02,1.297500985579738142e+01,2.386271185289845107e+02
1.400000000000000000e+01,1.397499437423207880e+01,2.262559532666663245e+02,1.397482653530330232e+01,2.262559532666663245e+02
1.500000000000000000e+01,1.497482174919349518e+01,1.997998424321626487e+02,1.497484807552120500e+01,1.997998424321626487e+02
1.600000000000000000e+01,1.597504076910285420e+01,1.860512791568372108e+02,1.597486961573910591e+01,1.860512791568372108e+02
1.700000000000000000e+01,1.697486211875737894e+01,2.341167998970379642e+02,1.697469232056008792e+01,2.341167998970379642e+02
1.800000000000000000e+01,1.797508113866674151e+01,2.112132810561961378e+02,1.797491269617491128e+01,2.112132810561961378e+02
1.900000000000000000e+01,1.897490248832126269e+01,2.563029768912192594e+02,1.897493423639281218e+01,2.563029768912192594e+02
2.000000000000000000e+01,1.997472383797578743e+01,2.361286417073777955e+02,1.997495577661071664e+01,2.361286417073777955e+02
2.100000000000000000e+01,2.097494285788514645e+01,2.404050275185205123e+02,2.097477848143169510e+01,2.404050275185205123e+02
2.200000000000000000e+01,2.197476420753967119e+01,2.355968429003686140e+02,2.197480002164959956e+01,2.355968429003686140e+02
2.300000000000000000e+01,2.297498322744903732e+01,1.855995434422803214e+02,2.297482156186750046e+01,1.855995434422803214e+02
2.400000000000000000e+01,2.397480457710356205e+01,1.555333594195336957e+02,2.397504193748232737e+01,1.555333594195336957e+02
2.500000000000000000e+01,2.497502359701292107e+01,2.522923927264474457e+02,2.497486464230330583e+01,2.522923927264474457e+02
2.600000000000000000e+01,2.597484494666744581e+01,2.758495157628156562e+02,2.597489220783626251e+01,2.758495157628156562e+02
2.700000000000000000e+01,2.697505794126991319e+01,2.704230172743819480e+02,2.697490169742405186e+01,2.704230172743819480e+02
2.800000000000000000e+01,2.797488531623132957e+01,2.816795556989210354e+02,2.797492926295701210e+01,2.816795556989210354e+02
2.900000000000000000e+01,2.897510433614069214e+01,2.480383932989086304e+02,2.897494477785985367e+01,2.480383932989086304e+02
3.000000000000000000e+01,2.997491966048832523e+01,2.779509031075709800e+02,2.997477350799589146e+01,2.779509031075709800e+02
3.100000000000000000e+01,3.097513868039768781e+01,2.940603989174696835e+02,3.097479504821379592e+01,2.940636249028798943e+02
3.200000000000000000e+01,3.197496003005220899e+01,2.742990876232631763e+02,3.197481056311664105e+01,2.742990876232631763e+02
3.300000000000000000e+01,3.297478740501362182e+01,2.751928810961464364e+02,3.297503093873146440e+01,2.751928810961464364e+02
3.400000000000000000e+01,3.397500039961609275e+01,3.051277772884126875e+02,3.397485364355244286e+01,3.051277772884126875e+02
3.500000000000000000e+01,3.497482777457750558e+01,2.772783340281182518e+02,3.497468237368848065e+01,2.772783340281182518e+02
3.600000000000000000e+01,3.597504076917998361e+01,2.555981479576647644e+02,3.597490274930330401e+01,2.555981479576647644e+02
3.700000000000000000e+01,3.697486211883450125e+01,2.905783875742969826e+02,3.697491826420615268e+01,2.905783875742969826e+02
3.800000000000000000e+01,3.797508113874386737e+01,2.694812250488807877e+02,3.797494582973911292e+01,2.694812250488807877e+02
3.900000000000000000e+01,3.897490248839838500e+01,2.844087393559213979e+02,3.897476853456009138e+01,2.844087393559213979e+02
4.000000000000000000e+01,3.997472383805290974e+01,2.870290215660452873e+02,3.997479007477799229e+01,2.870290215660452873e+02
4.100000000000000000e+01,4.097494285796227587e+01,3.057620255714779773e+02,4.097500442507776341e+01,3.057620255714779773e+02
4.200000000000000000e+01,4.197476420761680060e+01,2.674151280293699529e+02,4.197502596529566432e+01,2.674151280293699529e+02
4.300000000000000000e+01,4.297498322752615962e+01,2.518055622009133572e+02,4.297485469543169501e+01,2.518055622009133572e+02
4.400000000000000000e+01,4.397480457718068436e+01,2.470645367335731066e+02,4.397467740025268768e+01,2.470645367335731066e+02
4.500000000000000000e+01,4.497502359709004338e+01,2.587119081784104537e+02,4.497499418090843903e+01,2.587119081784104537e+02
4.600000000000000000e+01,4.597484494674456812e+01,2.394279449677748062e+02,4.597503379707151794e+01,2.394279449677748062e+02
4.700000000000000000e+01,4.697505794134704615e+01,2.393958806279404143e+02,4.697495290693342440e+01,2.393958806279404143e+02
4.800000000000000000e+01,4.797488531630845898e+01,2.143397497043151247e+02,4.797485996616521930e+01,2.143397497043151247e+02
4.900000000000000000e+01,4.897509831091092281e+01,2.251026146039651508e+02,4.897478510134219221e+01,2.251026146039651508e+02
5.000000000000000000e+01,4.997492568587233563e+01,2.272425182593752311e+02,4.997491509723114689e+01,2.272425182593752311e+02
5.100000000000000000e+01,5.097494587065428107e+01,2.381338360326300290e+02,5.097497881465444891e+01,2.381338360326300290e+02
5.200000000000000000e+01,5.197496003012933130e+01,2.644522070658330222e+02,5.197490394983142181e+01,2.644522070658330222e+02
5.300000000000000000e+01,5.297478137978386314e+01,2.434576895307402822e+02,5.297482908500839471e+01,2.434576895307402822e+02
5.400000000000000000e+01,5.397500039969322216e+01,2.446110281934413990e+02,5.397495908089734229e+01,2.446110281934413990e+02
5.500000000000000000e+01,5.497482777465463499e+01,2.623316593228838656e+02,5.497510112741640853e+01,2.623316593228838656e+02
5.600000000000000000e+01,5.597504076925709882e+01,2.899824600876190175e+02,5.597494793349761721e+01,2.899824600876190175e+02
5.700000000000000000e+01,5.697486211891163066e+01,3.694211777273517896e+02,5.697484896741435989e+01,3.694211777273517896e+02
5.800000000000000000e+01,5.797468346856614829e+01,3.488977518192770049e+02,5.797476807727627346e+01,3.488977518192770049e+02
5.900000000000000000e+01,5.897490248847552152e+01,2.987147138072700727e+02,5.897491012379533970e+01,2.987147138072700727e+02
6.000000000000000000e+01,5.997492267325745985e+01,2.983847834812303859e+02,5.997505217031441305e+01,2.983847834812303859e+02
6.100000000000000000e+01,6.097494285803939817e+01,2.668932026928585515e+02,6.097489897639562173e+01,2.668932026928585515e+02
6.200000000000000000e+01,6.197476420769392291e+01,2.790465650614237347e+02,6.197480001031236441e+01,2.790465650614237347e+02
6.300000000000000000e+01,6.297498322760328904e+01,3.205132837665632337e+02,6.297487577836577799e+01,3.205132837665632337e+02
6.400000000000000000e+01,6.397500341238522736e+01,2.813463993874711377e+02,6.397501782488484423e+01,2.813463993874711377e+02
6.500000000000000000e+01,6.497482476203974500e+01,2.556495682099601652e+02,6.497492488411664624e+01,2.556495682099601652e+02
6.600000000000000000e+01,6.597464008638738164e+01,2.525807762706895687e+02,6.597483796866350758e+01,2.525807762706895687e+02
6.700000000000000000e+01,6.697505794142416846e+01,2.692892300384090731e+02,6.697476310384047338e+01,2.692892300384090731e+02
6.800000000000000000e+01,6.797508415151300198e+01,2.295618062550172738e+02,6.797506180855106095e+01,2.295618062550172738e+02
6.900000000000000000e+01,6.897490550116752672e+01,2.492621170978316059e+02,6.897496886778284875e+01,2.492621170978316059e+02
7.000000000000000000e+01,6.997472082551514916e+01,2.342129929165410829e+02,6.997486387638451788e+01,2.342129929165410829e+02
