method,start,update,weighted_RMSE_m_s,coverage,total_points,selection_status,group0_points
raw,11,0,293.93234975707924,300,300,accepted,300
raw,11,20,141.16464373164158,300,300,accepted,300
raw,11,40,184.5038203136608,300,300,accepted,300
raw,11,60,131.7681788133467,300,300,accepted,300
raw,11,80,62.36385841267595,300,300,accepted,300
raw,11,100,35.06003510361465,300,300,accepted,300
raw,11,120,14.061557285065868,300,300,accepted,300
raw,11,140,9.479554515097517,300,300,accepted,300
raw,11,160,12.493494009037756,300,300,accepted,300
raw,11,180,7.339061347040754,300,300,accepted,300
raw,11,200,15.636360538359684,300,300,accepted,300
raw,11,220,2.809190651214855,300,300,accepted,300
raw,11,240,4.788357651094487,300,300,accepted,300
raw,11,260,1.6323415978838356,300,300,accepted,300
raw,11,280,1.6391970977456085,300,300,accepted,300
raw,11,300,1.4806834549572991,300,300,accepted,300
raw,11,320,2.742726242164631,300,300,accepted,300
raw,11,340,2.1028369157410487,300,300,accepted,300
raw,11,360,1.469584777185812,300,300,accepted,300
raw,11,380,1.2395854838391496,300,300,accepted,300
raw,11,400,1.8718685587384487,300,300,accepted,300
sn,11,0,293.93234975707924,300,300,accepted,300
sn,11,20,141.16464373164158,300,300,accepted,300
sn,11,40,184.5038203136608,300,300,accepted,300
sn,11,60,131.7681788133467,300,300,accepted,300
sn,11,80,62.36385841267595,300,300,accepted,300
sn,11,100,35.06003510361465,300,300,accepted,300
sn,11,120,14.061557285065868,300,300,accepted,300
sn,11,140,9.479554515097517,300,300,accepted,300
sn,11,160,12.493494009037756,300,300,accepted,300
sn,11,180,7.339061347040754,300,300,accepted,300
sn,11,200,4.3593623668123485,300,300,accepted,300
sn,11,220,3.339108724076073,300,300,accepted,300
sn,11,240,1.4092779260948989,300,300,accepted,300
sn,11,260,4.673275062131496,300,300,accepted,300
sn,11,280,1.246319122685352,300,300,accepted,300
sn,11,300,1.225391971918704,300,300,accepted,300
sn,11,320,2.0006656743760938,300,300,accepted,300
sn,11,340,1.0816687149521225,300,300,accepted,300
sn,11,360,0.7389987799283843,300,300,accepted,300
sn,11,380,1.0440096959459648,300,300,accepted,300
sn,11,400,0.5530815258338375,300,300,accepted,300
