method,start,update,weighted_RMSE_m_s,coverage,total_points,selection_status,group0_points,group1_points,group2_points
raw,60,0,36.4117549805414,161,161,accepted,69,53,39
raw,60,20,36.27406956078273,161,161,accepted,69,53,39
raw,60,40,33.38830798299142,161,161,accepted,69,53,39
raw,60,60,26.788081631119343,161,161,accepted,69,53,39
raw,60,80,18.94674755042306,161,161,accepted,69,53,39
raw,60,100,14.286463917264992,161,161,accepted,69,53,39
raw,60,120,12.895242641813923,161,161,accepted,69,53,39
raw,60,140,12.835510390870974,161,161,accepted,69,53,39
raw,60,160,12.698897216787634,161,161,accepted,69,53,39
raw,60,180,12.659592589522665,161,161,accepted,69,53,39
raw,60,200,12.623668280827024,161,161,accepted,69,53,39
raw,60,220,12.581449978131628,161,161,accepted,69,53,39
raw,60,240,12.564159742582815,161,161,accepted,69,53,39
raw,60,260,12.55880120222477,161,161,accepted,69,53,39
raw,60,280,12.56915267872164,161,161,accepted,69,53,39
raw,60,300,12.570328456799507,161,161,accepted,69,53,39
raw,60,320,12.568158537322333,161,161,accepted,69,53,39
raw,60,340,12.56504935491177,161,161,accepted,69,53,39
raw,60,360,12.552611088819363,161,161,accepted,69,53,39
raw,60,380,12.565911956343223,161,161,accepted,69,53,39
raw,60,400,12.566854654647594,161,161,accepted,69,53,39
sn,60,0,36.4117549805414,161,161,accepted,69,53,39
sn,60,20,36.27406956078273,161,161,accepted,69,53,39
sn,60,40,33.38830798299142,161,161,accepted,69,53,39
sn,60,60,26.788081631119343,161,161,accepted,69,53,39
sn,60,80,18.94674755042306,161,161,accepted,69,53,39
sn,60,100,14.286463917264992,161,161,accepted,69,53,39
sn,60,120,12.895242641813923,161,161,accepted,69,53,39
sn,60,140,12.835510390870974,161,161,accepted,69,53,39
sn,60,160,12.698897216787634,161,161,accepted,69,53,39
sn,60,180,9.694853885303237,161,161,accepted,69,53,39
sn,60,200,5.460871095264298,161,161,accepted,69,53,39
sn,60,220,4.92662519909188,161,161,accepted,69,53,39
sn,60,240,4.825971090815573,161,161,accepted,69,53,39
sn,60,260,4.799439627223515,161,161,accepted,69,53,39
sn,60,280,4.783064424145369,161,161,accepted,69,53,39
sn,60,300,4.774235230319176,161,161,accepted,69,53,39
sn,60,320,4.780874346472677,161,161,accepted,69,53,39
sn,60,340,4.7697648724811845,161,161,accepted,69,53,39
sn,60,360,4.781455927948196,161,161,accepted,69,53,39
sn,60,380,4.79357935196931,161,161,accepted,69,53,39
sn,60,400,4.805674101070971,161,161,accepted,69,53,39
