method,start,update,weighted_RMSE_m_s,coverage,total_points,selection_status,group0_points
raw,0,0,70.63651659912323,500,500,accepted,500
raw,0,20,8.062747979492313,500,500,accepted,500
raw,0,40,7.3754182568936875,500,500,accepted,500
raw,0,60,5.002284861153563,500,500,accepted,500
raw,0,80,2.86667029776456,500,500,accepted,500
raw,0,100,2.115282516553088,500,500,accepted,500
raw,0,120,1.5714382127461932,500,500,accepted,500
raw,0,140,1.332793944018847,500,500,accepted,500
raw,0,160,1.0884472880495963,500,500,accepted,500
raw,0,180,0.8032998580889152,500,500,accepted,500
raw,0,200,0.7158339487801492,500,500,accepted,500
raw,0,220,0.5231545569184455,500,500,accepted,500
raw,0,240,0.40286561189086045,500,500,accepted,500
raw,0,260,0.28845338800481585,500,500,accepted,500
raw,0,280,0.2781245444895205,500,500,accepted,500
raw,0,300,0.2281666797017151,500,500,accepted,500
raw,0,320,0.1967491625404738,500,500,accepted,500
raw,0,340,0.18249789447941536,500,500,accepted,500
raw,0,360,0.17424901698552805,500,500,accepted,500
raw,0,380,0.1668965898137407,500,500,accepted,500
raw,0,400,0.16031732201628163,500,500,accepted,500
sn,0,0,70.63651659912323,500,500,accepted,500
sn,0,20,8.062747979492313,500,500,accepted,500
sn,0,40,7.3754182568936875,500,500,accepted,500
sn,0,60,5.002284861153563,500,500,accepted,500
sn,0,80,2.86667029776456,500,500,accepted,500
sn,0,100,2.115282516553088,500,500,accepted,500
sn,0,120,1.5714382127461932,500,500,accepted,500
sn,0,140,1.332793944018847,500,500,accepted,500
sn,0,160,1.0884472880495963,500,500,accepted,500
sn,0,180,0.8032998580889152,500,500,accepted,500
sn,0,200,0.7158339487801492,500,500,accepted,500
sn,0,220,0.5231545569184455,500,500,accepted,500
sn,0,240,0.40286561189086045,500,500,accepted,500
sn,0,260,0.28845338800481585,500,500,accepted,500
sn,0,280,0.2781245444895205,500,500,accepted,500
sn,0,300,0.2281666797017151,500,500,accepted,500
sn,0,320,0.1967491625404738,500,500,accepted,500
sn,0,340,0.18249789447941536,500,500,accepted,500
sn,0,360,0.17424901698552805,500,500,accepted,500
sn,0,380,0.1668965898137407,500,500,accepted,500
sn,0,400,0.16031732201628163,500,500,accepted,500
