method,start,update,weighted_RMSE_m_s,coverage,total_points,selection_status,group0_points,group1_points,group2_points,group3_points
raw,128,0,23.427842196864002,275,275,wrong_branch,85,77,40,73
raw,128,20,28.00553844986288,275,275,accepted,85,77,40,73
raw,128,40,33.55121626240962,275,275,accepted,85,77,40,73
raw,128,60,31.364010022409996,274,275,missing_root,85,77,39,73
raw,128,80,34.475702027623235,275,275,accepted,85,77,40,73
raw,128,100,31.814593918651795,273,275,missing_root,85,77,38,73
raw,128,120,28.544217984660943,275,275,accepted,85,77,40,73
raw,128,140,30.334920230043444,275,275,accepted,85,77,40,73
raw,128,160,32.103245834058086,275,275,accepted,85,77,40,73
raw,128,180,29.000121140840278,275,275,accepted,85,77,40,73
raw,128,200,27.265381270846863,275,275,accepted,85,77,40,73
raw,128,220,26.243641025314535,275,275,accepted,85,77,40,73
raw,128,240,23.30981471961428,275,275,accepted,85,77,40,73
raw,128,260,18.74387901390948,275,275,accepted,85,77,40,73
raw,128,280,17.878965965136903,275,275,accepted,85,77,40,73
raw,128,300,17.661867851454808,275,275,accepted,85,77,40,73
raw,128,320,17.892531346917437,275,275,accepted,85,77,40,73
raw,128,340,17.828342423691154,275,275,accepted,85,77,40,73
raw,128,360,17.715168986096263,275,275,accepted,85,77,40,73
raw,128,380,17.72166851733519,275,275,accepted,85,77,40,73
raw,128,400,17.67901609328846,275,275,accepted,85,77,40,73
sn,128,0,23.427842196864002,275,275,wrong_branch,85,77,40,73
sn,128,20,28.00553844986288,275,275,accepted,85,77,40,73
sn,128,40,33.55121626240962,275,275,accepted,85,77,40,73
sn,128,60,31.364010022409996,274,275,missing_root,85,77,39,73
sn,128,80,34.475702027623235,275,275,accepted,85,77,40,73
sn,128,100,31.814593918651795,273,275,missing_root,85,77,38,73
sn,128,120,28.544217984660943,275,275,accepted,85,77,40,73
sn,128,140,30.334920230043444,275,275,accepted,85,77,40,73
sn,128,160,32.103245834058086,275,275,accepted,85,77,40,73
sn,128,180,7.849549799719617,275,275,accepted,85,77,40,73
sn,128,200,1.3775560736462225,275,275,accepted,85,77,40,73
sn,128,220,0.8111120624068993,275,275,accepted,85,77,40,73
sn,128,240,0.4857444674797113,275,275,accepted,85,77,40,73
sn,128,260,0.26132771217977047,275,275,accepted,85,77,40,73
sn,128,280,0.26935740639238087,275,275,accepted,85,77,40,73
sn,128,300,0.3410954566820439,275,275,accepted,85,77,40,73
sn,128,320,0.2008032604787609,275,275,accepted,85,77,40,73
sn,128,340,0.3058089764674356,275,275,accepted,85,77,40,73
sn,128,360,0.01916293742923094,275,275,accepted,85,77,40,73
sn,128,380,0.18793804155322302,275,275,accepted,85,77,40,73
sn,128,400,0.045770286242565045,275,275,accepted,85,77,40,73
